Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Darrell Allums,,,NBA,,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
Morris Almond,,,NBA,,38,1,9.5,1.1,3.0,.381,0.2,0.6,.292,0.9,2.3,.404,.412,0.7,0.9,.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1
Derrick Alston,,,NBA,,139,42,19.1,2.3,4.7,.489,0.0,0.1,.143,2.3,4.6,.493,.490,0.8,1.7,.487,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4
Rafer Alston,,,NBA,,671,452,28.9,3.7,9.5,.383,1.5,4.2,.354,2.2,5.3,.407,.461,1.3,1.8,.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1
Peter Aluma,,,NBA,,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
John Amaechi,,,NBA,,294,93,16.4,2.3,5.6,.403,0.0,0.0,.077,2.3,5.6,.405,.403,1.7,2.6,.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2
Ashraf Amaya,,,NBA,,85,34,14.7,1.6,3.4,.455,0.0,0.0,.500,1.6,3.4,.455,.457,1.3,2.1,.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5
Al-Farouq Aminu,,,NBA,,614,373,25.0,2.8,6.6,.422,0.8,2.2,.337,2.0,4.3,.466,.480,1.2,1.7,.732,1.4,4.6,6.0,1.2,1.0,0.6,1.2,1.9,7.6
Lou Amundson,,,NBA,,428,42,12.9,1.5,3.2,.474,0.0,0.0,.000,1.5,3.2,.475,.474,0.6,1.4,.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7
Bob Anderegg,,,NBA,,33,,11.3,1.7,4.3,.385,,,,,,,,0.7,1.3,.548,2.1,0.9,1.0,4.0
Chris Andersen,,,NBA,,695,45,17.7,1.9,3.6,.532,0.0,0.1,.221,1.9,3.5,.541,.535,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
David Andersen,,,NBA,,103,0,12.3,2.0,4.5,.440,0.3,1.0,.347,1.6,3.5,.467,.478,0.6,0.9,.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9
Alan Anderson,,,NBA,,330,66,20.6,2.6,6.3,.405,1.0,2.9,.344,1.6,3.4,.457,.484,1.2,1.5,.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3
Andrew Anderson,,,ABA,,194,,24.7,4.1,10.1,.410,0.1,0.3,.159,4.1,9.8,.418,.413,2.4,3.2,.755,1.6,1.4,2.7,1.7,1.6,2.4,10.7,,
Antonio Anderson,,,NBA,,1,0,15.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
Cliff Anderson,,,TOT,,84,,7.2,0.9,2.5,.354,0.0,0.0,,0.9,2.5,.354,.354,1.3,2.2,.585,0.3,1.0,1.3,0.9,1.0,1.3,3.0,,
Dan Anderson,,,ABA,,140,,28.8,4.9,10.2,.481,0.0,0.0,,4.9,10.2,.481,.481,2.4,3.4,.727,3.5,5.9,9.4,1.1,1.5,3.6,12.2,,
Dan Anderson,,,NBA,,95,,11.2,1.4,3.0,.472,,,,,,,,0.8,1.0,.846,0.2,0.7,1.0,1.7,0.4,0.0,1.1,3.7
Derek Anderson,,,NBA,,615,390,29.2,3.9,9.6,.408,1.0,3.1,.341,2.9,6.6,.440,.463,3.0,3.6,.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2.0,12.0
Dwight Anderson,,,NBA,,5,0,6.6,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
Eric Anderson,,,NBA,,27,0,3.1,0.4,1.3,.343,0.1,0.1,1.000,0.4,1.2,.303,.371,0.6,1.0,.593,0.4,0.7,1.1,0.2,0.1,0.1,0.3,0.9,1.6
Greg Anderson,,,NBA,,680,315,20.6,3.0,6.0,.492,0.0,0.0,.087,3.0,6.0,.494,.492,1.4,2.5,.557,2.1,4.1,6.2,0.6,0.7,0.9,1.4,2.6,7.3
J.J. Anderson,,,NBA,,157,2,12.5,1.9,4.2,.465,0.0,0.1,.000,1.9,4.1,.471,.465,0.9,1.6,.558,1.2,1.6,2.8,0.7,0.7,0.2,0.8,1.6,4.8
James Anderson,,,NBA,,247,83,17.5,2.1,5.2,.411,0.8,2.5,.321,1.3,2.7,.495,.488,0.7,0.9,.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8
