Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Roy McPipe,,,ABA,,5,,8.8,1.6,4.8,.333,0.4,0.8,.500,1.2,4.0,.300,.375,0.6,0.8,.750,0.4,0.6,1.0,0.2,0.2,0.0,2.0,1.0,4.2
Cozell McQueen,,,NBA,,3,0,2.3,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,1.7,2.7,0.0,0.0,0.3,0.0,0.3,2.0
Jordan McRae,,,NBA,,63,5,9.5,1.5,3.7,.396,0.4,1.2,.373,1.0,2.5,.406,.455,0.8,1.0,.774,0.2,0.9,1.0,0.7,0.2,0.1,0.5,0.8,4.2
Thales McReynolds,,,NBA,,5,,5.6,0.2,2.4,.083,,,,,,,,0.2,0.4,.500,1.2,0.2,0.0,0.6
Josh McRoberts,,,NBA,,433,179,19.1,2.1,4.6,.463,0.5,1.3,.340,1.7,3.2,.514,.513,0.7,1.0,.705,1.1,2.8,3.9,2.1,0.5,0.4,0.9,1.9,5.4
Eric McWilliams,,,NBA,,44,,5.6,0.8,2.2,.347,,,,,,,,0.4,0.8,.486,1.4,0.1,1.0,2.0
George Mearns,,,BAA,,81,,,1.9,7.3,.255,,,,,,,,1.7,2.5,.684,,0.6,2.5,5.5
Stanislav Medvedenko,,,NBA,,263,58,12.7,2.2,5.0,.450,0.0,0.0,.154,2.2,4.9,.453,.451,0.8,1.1,.740,1.3,1.6,2.8,0.5,0.3,0.2,0.6,2.0,5.3
Darnell Mee,,,NBA,,40,0,7.3,0.7,2.3,.312,0.2,0.7,.222,0.6,1.7,.348,.344,0.3,0.7,.444,0.4,0.5,0.9,0.5,0.4,0.3,0.5,0.9,1.9
Jodie Meeks,,,NBA,,531,204,22.6,3.1,7.4,.418,1.4,3.9,.372,1.7,3.5,.469,.516,1.7,1.9,.879,0.3,1.8,2.1,1.1,0.8,0.1,0.8,1.2,9.3
Cliff Meely,,,NBA,,318,,19.9,3.5,8.4,.417,,,,,,,,1.3,1.9,.675,1.1,3.3,5.4,1.3,0.6,0.7,2.9,8.4,
Scott Meents,,,NBA,,39,0,5.2,0.7,1.8,.361,0.0,0.0,1.000,0.6,1.8,.352,.368,0.5,0.7,.704,0.3,0.8,1.0,0.4,0.3,0.2,0.4,0.4,1.8
Dick Mehen,,,NBA,,193,,35.3,4.3,11.3,.381,,,,,,,,2.1,3.0,.709,3.9,2.5,2.9,10.7,,,,,
Monk Meineke,,,NBA,,343,,19.8,2.3,6.3,.367,,,,,,,,2.2,2.9,.756,4.7,1.3,3.1,6.8,,,,,
Carl Meinhold,,,BAA,,98,,,2.1,6.8,.316,,,,,,,,1.0,1.6,.628,,0.6,1.3,5.3,,,,,
Salah Mejri,,,NBA,,176,18,11.8,1.3,2.1,.638,0.0,0.0,.125,1.3,2.0,.650,.640,0.6,1.0,.593,1.3,2.7,4.0,0.4,0.4,0.9,0.6,1.9,3.2
Gal Mekel,,,NBA,,35,1,9.6,0.9,3.0,.311,0.1,0.7,.217,0.8,2.4,.337,.335,0.2,0.3,.667,0.1,0.7,0.8,2.2,0.2,0.0,0.9,0.9,2.3
Bill Melchionni,,,TOT,,646,,26.0,4.3,9.3,.459,0.1,0.3,.236,4.2,9.0,.465,.462,2.1,2.5,.809,0.4,1.7,2.0,5.0,0.9,0.1,2.5,2.2,10.6
Gary Melchionni,,,NBA,,137,,20.3,3.2,7.1,.444,,,,,,,,1.5,1.8,.831,0.7,1.7,2.4,2.2,0.6,0.2,1.5,7.8
Fab Melo,,,NBA,,6,0,6.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.2,0.7,.250,0.0,0.5,0.5,0.0,0.3,0.3,0.2,1.2,1.2
De'Anthony Melton,,,NBA,,8,0,13.0,2.1,5.1,.415,0.8,2.4,.316,1.4,2.8,.500,.488,0.1,0.3,.500,0.3,1.9,2.1,1.9,0.9,0.1,0.8,2.0,5.1
Ed Melvin,,,BAA,,57,,,1.7,6.6,.263,,,,,,,,1.5,2.2,.654,,0.6,2.6,4.9
Dean Meminger,,,NBA,,416,,20.6,2.4,5.1,.475,,,,,,,,1.3,2.1,.627,1.1,1.5,2.6,2.5,0.9,0.1,1.7,6.1,
Chuck Mencel,,,NBA,,141,,20.0,2.6,7.5,.341,,,,,,,,1.8,2.4,.765,2.5,2.4,1.2,7.0
John Mengelt,,,NBA,,636,,20.1,3.8,7.9,.479,0.0,0.2,.000,3.8,7.9,.480,.479,2.2,2.7,.809,0.4,1.4,1.9,2.1,0.7,0.1,1.4,2.0,9.8
Ken Menke,,,NBA,,6,,,1.0,2.8,.353,,,,,,,,0.5,1.3,.375,,1.2,1.2,2.5
Pops Mensah-Bonsu,,,NBA,,61,0,8.3,1.0,2.6,.410,0.0,0.0,.000,1.0,2.5,.416,.410,0.9,1.5,.589,1.4,1.6,3.0,0.2,0.2,0.2,0.7,1.3,3.0
Dewitt Menyard,,,ABA,,71,,24.7,3.6,9.7,.370,0.0,0.0,,3.6,9.7,.370,.370,1.8,2.8,.665,,,7.8,1.2,1.4,3.1,9.1
Ron Mercer,,,NBA,,432,278,31.1,5.8,13.4,.429,0.1,0.6,.250,5.6,12.9,.437,.434,2.0,2.4,.808,0.9,2.2,3.1,2.1,1.1,0.3,1.6,2.0,13.6
Joe Meriweather,,,NBA,,670,119,22.1,3.2,6.3,.511,0.0,0.0,.333,3.2,6.3,.511,.511,1.6,2.4,.687,1.9,3.7,5.6,0.9,0.5,1.2,1.4,3.4,8.1
Porter Meriwether,,,NBA,,31,,8.6,1.5,3.9,.393,,,,,,,,0.7,1.1,.697,0.9,1.4,0.6,3.8
Tom Meschery,,,NBA,,778,,30.2,5.0,11.3,.441,,,,,,,,2.8,3.7,.745,8.6,1.7,3.7,12.7,,,,,
Chimezie Metu,,,NBA,,14,0,6.1,1.0,2.6,.389,0.0,0.1,.000,1.0,2.4,.412,.389,0.6,0.8,.818,0.5,1.0,1.5,0.7,0.3,0.1,0.6,0.4,2.6
Bill Meyer,,,ABA,,7,,6.4,1.4,3.1,.455,0.0,0.0,,1.4,3.1,.455,.455,0.3,0.3,1.000,,,0.7,0.1,0.3,1.0,3.1
Loren Meyer,,,NBA,,140,54,14.6,1.9,4.3,.432,0.1,0.2,.348,1.8,4.1,.435,.439,0.8,1.2,.696,1.2,2.2,3.4,0.6,0.2,0.4,1.0,2.7,4.6
Dave Meyers,,,NBA,,281,,26.6,4.3,9.3,.461,0.0,0.1,.200,4.3,9.3,.461,.461,2.6,3.9,.676,1.9,4.4,6.3,2.3,1.0,0.5,2.5,2.7,11.2
Stan Miasek,,,TOT,,365,,28.7,3.8,11.4,.330,,,,,,,,3.0,4.8,.628,7.6,1.4,3.7,10.6,,,NBA,,199
Larry Micheaux,,,NBA,,96,0,9.3,1.5,2.6,.567,0.0,0.0,.000,1.5,2.5,.574,.567,0.5,0.9,.610,1.1,1.6,2.7,0.5,0.4,0.3,0.6,1.3,3.4
Jordan Mickey,,,NBA,,64,4,7.5,1.0,2.2,.449,0.0,0.3,.118,0.9,1.9,.496,.457,0.4,0.7,.605,0.6,1.4,2.0,0.3,0.1,0.4,0.4,0.8,2.4
Khris Middleton,,,NBA,,400,328,31.8,5.6,12.3,.454,1.6,4.1,.394,4.0,8.2,.483,.519,2.6,2.9,.878,0.6,3.7,4.2,3.1,1.3,0.2,1.8,2.7,15.3
Red Mihalik,,,BAA,,7,,,0.4,1.3,.333,,,,,,,,0.0,0.0,,,0.0,1.4,0.9
Chris Mihm,,,NBA,,436,256,20.1,2.9,6.3,.459,0.0,0.0,.231,2.9,6.2,.460,.459,1.7,2.5,.704,2.0,3.3,5.3,0.5,0.3,1.0,1.2,2.9,7.5
Ed Mikan,,,TOT,,323,,20.3,2.5,7.7,.320,,,,,,,,1.7,2.3,.756,5.5,0.9,2.8,6.7,,,NBA,,263
George Mikan,,,TOT,,439,,34.4,8.1,20.0,.404,,,,,,,,7.0,8.9,.782,13.4,2.8,4.2,23.1,,,NBA,,379
Larry Mikan,,,NBA,,53,,10.1,1.2,3.5,.333,,,,,,,,0.6,1.0,.618,2.6,0.8,1.1,3.0
Vern Mikkelsen,,,NBA,,699,,32.5,5.1,12.6,.403,,,,,,,,4.2,5.5,.766,9.4,2.2,4.0,14.4
Al Miksis,,,NBA,,8,,,0.6,2.6,.238,,,,,,,,2.1,2.6,.810,,0.5,2.8,3.4
Aaron Miles,,,NBA,,19,0,6.2,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.2,0.2,1.000,0.0,0.7,0.7,1.3,0.2,0.1,0.6,0.7,0.8
C.J. Miles,,,NBA,,805,302,20.5,3.5,8.4,.413,1.5,4.1,.359,2.0,4.3,.465,.501,1.3,1.6,.808,0.4,2.0,2.4,1.1,0.7,0.3,0.9,2.1,9.7
Darius Miles,,,NBA,,446,190,26.3,4.2,8.9,.472,0.0,0.3,.168,4.2,8.6,.482,.474,1.7,2.8,.590,1.3,3.6,4.9,1.9,0.9,1.1,2.0,2.3,10.1
Eddie Miles,,,NBA,,605,,25.9,5.5,12.4,.440,,,,,,,,2.5,3.4,.747,3.1,2.0,2.3,13.4,,,,,
Marko Milic,,,NBA,,44,0,4.9,1.1,1.9,.560,0.1,0.2,.429,1.0,1.8,.571,.577,0.3,0.4,.647,0.3,0.4,0.7,0.3,0.3,0.0,0.6,0.5,2.5
Darko Milicic,,,NBA,,468,208,18.5,2.6,5.6,.460,0.0,0.0,.000,2.6,5.5,.461,.460,0.9,1.6,.574,1.3,2.9,4.2,0.9,0.4,1.3,1.2,2.3,6.0
Nat Militzok,,,BAA,,57,,,1.6,6.0,.262,,,,,,,,1.1,2.0,.571,,0.7,2.1,4.3,,,,,
Andre Miller,,,NBA,,1304,939,30.9,4.6,10.0,.461,0.1,0.7,.217,4.5,9.4,.478,.468,3.1,3.8,.807,1.1,2.6,3.7,6.5,1.2,0.2,2.4,2.2,12.5
Anthony Miller,,,NBA,,181,15,9.0,1.1,2.1,.510,0.0,0.0,.250,1.1,2.1,.516,.513,0.6,1.1,.576,1.0,1.7,2.7,0.4,0.3,0.1,0.5,1.3,2.8
Bill Miller,,,BAA,,28,,,0.8,2.6,.292,,,,,,,,0.4,0.7,.550,,0.7,1.1,1.9,,,,,
Bob Miller,,,NBA,,2,0,4.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,1.0,1.5,2.5,0.5,0.0,0.5,0.0,2.5,2.0
Brad Miller,,,NBA,,868,598,28.3,4.0,8.3,.480,0.2,0.7,.330,3.7,7.6,.494,.494,3.0,3.8,.804,2.0,5.2,7.1,2.8,0.7,0.7,1.6,2.7,11.2
Darius Miller,,,NBA,,206,13,18.7,1.8,4.3,.434,1.1,2.8,.393,0.7,1.4,.513,.564,0.5,0.6,.852,0.2,1.4,1.6,1.1,0.4,0.2,0.6,1.9,5.3
Dick Miller,,,NBA,,8,,6.6,0.5,1.1,.444,0.0,0.1,.000,0.5,1.0,.500,.444,0.0,0.0,,0.3,0.6,0.9,0.6,0.5,0.0,1.0,0.6,1.0
Eddie Miller,,,NBA,,142,,25.9,3.6,9.7,.374,,,,,,,,2.9,4.3,.692,8.5,1.5,3.1,10.2,,,,,
Harry Miller,,,BAA,,53,,,1.1,4.9,.223,,,,,,,,0.7,1.5,.439,,0.8,2.2,2.9
Jay Miller,,,TOT,,117,,10.6,2.0,4.9,.415,0.0,0.0,.000,2.0,4.9,.415,.415,1.5,2.1,.717,1.0,0.8,1.8,0.4,0.9,1.6,5.5,,
Larry Miller,,,ABA,,486,,30.7,5.0,11.7,.432,0.2,0.7,.248,4.9,11.0,.444,.439,3.3,4.6,.724,1.9,3.1,5.0,2.4,0.7,0.1,1.9,2.2,13.6
Malcolm Miller,,,NBA,,15,4,8.4,0.9,1.9,.464,0.5,1.4,.381,0.3,0.5,.714,.607,0.3,0.3,1.000,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.7,2.5
Mike Miller,,,NBA,,1032,570,26.9,3.9,8.5,.459,1.5,3.8,.407,2.4,4.7,.502,.550,1.3,1.7,.769,0.6,3.6,4.2,2.6,0.6,0.2,1.5,2.0,10.6
Oliver Miller,,,NBA,,493,196,23.0,3.1,5.8,.534,0.0,0.1,.116,3.1,5.7,.541,.535,1.1,1.7,.639,1.9,4.0,5.9,2.2,0.9,1.5,1.9,3.0,7.4
Quincy Miller,,,NBA,,69,16,13.5,1.6,4.4,.350,0.5,1.6,.292,1.1,2.8,.383,.404,0.7,1.0,.706,0.6,1.9,2.4,0.5,0.4,0.5,0.8,1.2,4.3
Reggie Miller,,,NBA,,1389,1304,34.3,5.9,12.6,.471,1.8,4.7,.395,4.1,7.9,.516,.544,4.5,5.1,.888,0.6,2.4,3.0,3.0,1.1,0.2,1.7,2.0,18.2
Walt Miller,,,BAA,,12,,,0.6,1.8,.333,,,,,,,,0.8,1.5,.500,,0.5,1.3,1.9
Chris Mills,,,NBA,,568,328,30.4,4.2,9.8,.432,0.8,2.2,.351,3.4,7.6,.455,.471,2.0,2.4,.817,1.4,3.6,4.9,1.9,0.7,0.4,1.3,2.7,11.2
John Mills,,,BAA,,47,,,1.2,4.0,.294,,,,,,,,1.5,2.7,.550,,0.2,2.0,3.9
Patty Mills,,,NBA,,548,54,18.6,3.0,7.0,.432,1.4,3.7,.390,1.6,3.3,.478,.535,0.8,0.9,.845,0.3,1.3,1.6,2.3,0.6,0.1,1.0,1.3,8.3
Terry Mills,,,NBA,,678,303,24.2,4.2,9.2,.457,0.8,2.0,.384,3.4,7.1,.478,.500,1.4,1.8,.781,1.5,3.9,5.4,1.3,0.6,0.4,1.3,2.8,10.6
Elijah Millsap,,,NBA,,69,5,16.2,1.3,4.1,.327,0.4,1.5,.279,0.9,2.6,.356,.379,1.0,1.5,.679,0.5,2.2,2.8,1.1,0.9,0.3,1.1,2.3,4.2
Paul Millsap,,,NBA,,899,620,29.5,5.3,10.9,.491,0.4,1.3,.334,4.9,9.6,.513,.512,3.1,4.2,.734,2.3,5.2,7.4,2.3,1.3,1.0,1.8,3.1,14.2
Shake Milton,,,NBA,,1,0,11.0,2.0,4.0,.500,1.0,2.0,.500,1.0,2.0,.500,.625,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0
Harold Miner,,,NBA,,200,47,18.7,3.5,7.5,.460,0.1,0.4,.311,3.3,7.2,.468,.468,2.0,2.5,.785,1.0,1.2,2.2,1.2,0.4,0.1,1.4,1.9,9.0
Yao Ming,,,NBA,,486,476,32.5,7.0,13.3,.524,0.0,0.0,.200,7.0,13.2,.525,.525,5.1,6.1,.833,2.5,6.7,9.2,1.6,0.4,1.9,2.7,3.3,19.0
Dirk Minniefield,,,NBA,,222,60,17.1,2.2,4.7,.470,0.1,0.4,.272,2.1,4.3,.489,.481,0.8,1.1,.739,0.5,1.2,1.7,3.8,0.9,0.0,1.6,2.1,5.3
Dave Minor,,,NBA,,116,,27.3,2.9,8.1,.360,,,,,,,,1.7,2.3,.754,4.5,2.5,3.2,7.6,,,,,
Greg Minor,,,NBA,,277,93,18.6,2.9,6.0,.478,0.1,0.4,.226,2.8,5.6,.495,.485,1.0,1.4,.767,0.9,1.7,2.7,1.4,0.6,0.2,0.8,1.7,6.9
Mark Minor,,,NBA,,4,,5.0,0.3,1.0,.250,,,,,,,,0.8,1.0,.750,1.0,0.5,1.3,1.3
Nikola Mirotic,,,NBA,,295,92,24.3,4.1,9.7,.424,1.9,5.3,.358,2.2,4.4,.503,.522,2.2,2.7,.805,1.0,5.1,6.0,1.3,0.8,0.7,1.2,2.1,12.3
Wat Misaka,,,BAA,,3,,,1.0,4.3,.231,,,,,,,,0.3,1.0,.333,,0.0,2.3,2.3
Jason Miskiri,,,NBA,,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Donovan Mitchell,,,NBA,,101,93,33.2,7.6,17.5,.435,2.3,6.9,.330,5.3,10.6,.502,.499,3.0,3.8,.805,0.6,3.0,3.5,3.6,1.5,0.3,2.7,2.6,20.5
Leland Mitchell,,,ABA,,78,,14.0,1.6,4.5,.349,0.3,1.0,.276,1.3,3.5,.369,.379,0.7,1.1,.659,,,2.3,0.9,1.4,2.0,4.1
Mike Mitchell,,,NBA,,759,443,32.3,8.4,17.0,.493,0.0,0.1,.216,8.4,16.9,.495,.494,3.0,3.8,.779,2.0,3.6,5.6,1.3,0.7,0.5,1.7,2.7,19.8
Murray Mitchell,,,NBA,,2,,,0.5,1.5,.333,,,,,,,,0.0,0.0,,,1.0,0.5,1.0
Sam Mitchell,,,NBA,,994,322,22.4,3.2,7.2,.447,0.1,0.3,.223,3.2,7.0,.456,.451,2.1,2.7,.784,1.3,2.5,3.7,1.1,0.6,0.3,0.8,2.5,8.7
Todd Mitchell,,,NBA,,24,0,14.7,1.8,4.0,.443,0.0,0.0,,1.8,4.0,.443,.443,1.5,2.7,.578,0.8,1.3,2.1,0.9,0.7,0.1,1.4,2.1,5.1
Tony Mitchell,,,NBA,,3,0,3.3,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0
Tony Mitchell,,,NBA,,21,0,3.8,0.2,0.6,.417,0.0,0.0,1.000,0.2,0.5,.364,.458,0.5,0.9,.579,0.7,0.5,1.2,0.1,0.3,0.1,0.2,0.4,1.0
Naz Mitrou-Long,,,NBA,,2,0,2.5,0.5,1.0,.500,0.5,1.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
Steve Mix,,,TOT,,788,20,23.9,4.1,8.2,.499,0.0,0.1,.286,4.1,8.1,.499,.499,2.5,3.1,.803,1.9,3.5,5.3,1.8,1.2,0.2,1.3,2.1,10.6
Bill Mlkvy,,,NBA,,31,,19.6,2.4,7.9,.305,,,,,,,,1.0,1.5,.646,3.3,2.0,1.7,5.8
Cuttino Mobley,,,NBA,,747,581,37.0,5.8,13.4,.433,1.5,3.8,.378,4.3,9.5,.455,.487,3.0,3.6,.835,0.7,3.2,3.9,2.7,1.2,0.4,2.0,2.3,16.0
Eric Mobley,,,NBA,,113,38,13.9,1.6,2.9,.541,0.0,0.0,.750,1.6,2.9,.538,.545,0.7,1.4,.475,1.2,1.9,3.1,0.5,0.2,0.5,0.9,1.7,3.9
Doug Moe,,,ABA,,378,,32.0,6.1,14.2,.428,0.1,0.2,.213,6.0,14.0,.432,.430,4.1,5.1,.800,2.4,4.4,6.8,3.2,,2.5,3.4,16.3,
Larry Moffett,,,NBA,,20,,5.5,0.3,0.9,.294,,,,,,,,0.3,0.5,.600,0.5,0.6,1.1,0.4,0.1,0.1,0.4,0.8,0.8
Leo Mogus,,,TOT,,231,,,2.8,8.4,.332,,,,,,,,3.0,4.1,.716,1.8,1.4,2.5,8.5,,,NBA,,121
Nazr Mohammed,,,NBA,,1005,354,15.8,2.4,4.9,.486,0.0,0.0,.000,2.4,4.9,.487,.486,1.0,1.6,.640,1.8,2.9,4.7,0.4,0.4,0.6,0.9,2.1,5.8
Jerome Moiso,,,NBA,,145,3,9.6,1.1,2.2,.489,0.0,0.0,.000,1.1,2.2,.494,.489,0.5,0.8,.593,0.9,1.9,2.7,0.3,0.3,0.5,0.7,1.3,2.7
Paul Mokeski,,,NBA,,694,38,14.0,1.6,3.5,.451,0.0,0.1,.216,1.6,3.4,.456,.453,0.8,1.2,.694,1.0,2.4,3.4,0.7,0.3,0.4,0.8,2.6,4.0
Jack Molinas,,,NBA,,32,,29.9,3.6,9.1,.390,,,,,,,,4.4,5.8,.759,7.1,1.6,2.6,11.6
Wayne Molis,,,TOT,,59,,10.3,1.9,4.7,.417,0.0,0.1,.667,1.9,4.6,.414,.420,0.8,1.3,.649,,,3.3,0.7,0.6,1.0,4.7,,
Sidney Moncrief,,,NBA,,767,513,30.2,5.4,10.7,.502,0.1,0.5,.284,5.2,10.2,.513,.509,4.7,5.6,.831,1.9,2.8,4.7,3.6,1.2,0.3,2.0,2.1,15.6
Eric Money,,,NBA,,426,,25.4,5.3,10.6,.494,0.0,0.0,,5.3,10.6,.494,.494,1.7,2.3,.748,0.8,1.3,2.1,3.8,1.2,0.1,3.4,2.7,12.2
Sergei Monia,,,NBA,,26,15,13.2,1.1,3.3,.333,0.3,1.3,.265,0.8,2.0,.377,.385,0.4,0.5,.714,0.4,1.6,2.0,0.7,0.3,0.2,0.5,1.6,3.0
Malik Monk,,,NBA,,86,0,15.1,2.7,7.5,.363,1.4,4.2,.332,1.3,3.3,.404,.457,0.8,0.9,.873,0.2,1.1,1.2,1.6,0.4,0.2,0.9,1.1,7.7
Earl Monroe,,,NBA,,926,,32.0,7.5,16.1,.464,0.0,0.0,,7.5,16.1,.464,.464,3.9,4.9,.807,0.6,2.1,3.0,3.9,1.0,0.3,1.6,2.6,18.8
Greg Monroe,,,NBA,,600,415,28.5,5.4,10.6,.515,0.0,0.0,.000,5.4,10.6,.516,.515,2.7,3.8,.706,2.9,5.6,8.5,2.2,1.1,0.6,1.9,2.3,13.6
Rodney Monroe,,,NBA,,38,0,8.2,1.4,3.8,.368,0.2,0.7,.222,1.2,3.1,.402,.389,0.5,0.6,.826,0.3,0.6,0.9,0.7,0.3,0.1,0.6,0.5,3.4
Luis Montero,,,NBA,,14,0,3.6,0.4,1.4,.250,0.1,0.6,.111,0.3,0.8,.364,.275,0.2,0.3,.750,0.0,0.4,0.4,0.1,0.0,0.0,0.4,0.1,1.0
Howie Montgomery,,,NBA,,20,,18.2,3.3,7.7,.425,,,,,,,,0.7,1.2,.609,3.5,1.1,1.8,7.2
Eric Montross,,,NBA,,465,288,18.2,1.9,3.9,.490,0.0,0.0,.000,1.9,3.9,.491,.490,0.6,1.3,.478,1.5,3.1,4.6,0.4,0.3,0.6,0.9,2.7,4.5
Jamario Moon,,,NBA,,286,157,22.6,2.5,5.5,.461,0.6,1.9,.329,1.9,3.6,.530,.518,0.6,0.8,.803,0.7,3.6,4.3,1.0,0.8,0.8,0.5,1.5,6.3
Jim Mooney,,,NBA,,18,,29.4,3.0,8.2,.365,,,,,,,,1.5,2.2,.675,3.9,1.9,2.8,7.5
Andre Moore,,,NBA,,10,0,5.0,0.9,2.7,.333,0.0,0.0,,0.9,2.7,.333,.333,0.6,0.8,.750,0.6,0.8,1.4,0.6,0.2,0.1,0.4,0.6,2.4
Ben Moore,,,NBA,,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,2.0,0.0
E'Twaun Moore,,,NBA,,487,172,21.5,3.3,7.1,.460,0.9,2.3,.390,2.3,4.7,.495,.525,0.6,0.8,.734,0.5,1.5,2.0,1.8,0.7,0.2,0.9,1.6,8.0
Gene Moore,,,ABA,,465,,25.3,5.0,10.8,.467,0.0,0.1,.303,5.0,10.7,.468,.468,2.0,2.9,.679,3.4,6.0,9.4,1.4,0.5,1.4,2.5,3.7,12.0
Jackie Moore,,,NBA,,134,,8.8,1.0,2.6,.391,,,,,,,,0.7,1.1,.623,2.5,0.5,1.6,2.7,,,,,
Johnny Moore,,,NBA,,520,333,25.8,3.8,8.4,.460,0.2,0.7,.251,3.7,7.6,.480,.471,1.5,2.2,.712,0.8,2.2,3.0,7.4,2.0,0.2,2.2,2.5,9.4
Larry Moore,,,ABA,,12,,6.5,0.7,2.8,.242,0.0,0.4,.000,0.7,2.3,.286,.242,0.9,1.1,.846,,,1.3,0.1,0.6,1.4,2.3
Lowes Moore,,,NBA,,112,3,18.9,2.8,6.3,.442,0.1,0.5,.200,2.7,5.8,.462,.450,1.0,1.4,.750,0.5,1.5,2.0,2.8,0.8,0.2,1.4,2.4,6.7
Mikki Moore,,,NBA,,564,181,18.2,2.3,4.1,.551,0.0,0.0,.154,2.2,4.1,.553,.551,1.3,1.7,.743,1.4,2.5,3.9,0.7,0.3,0.5,1.0,2.7,5.8
Otto Moore,,,NBA,,682,,24.8,3.4,7.6,.453,,,,,,,,1.4,2.3,.609,1.8,5.5,8.2,1.6,0.7,1.2,2.6,8.2,
Richard Moore,,,ABA,,18,,11.7,1.3,3.9,.338,0.0,0.1,.000,1.3,3.8,.348,.338,1.2,1.6,.750,,,1.1,0.4,1.3,0.9,3.8
Ron Moore,,,NBA,,14,0,4.2,0.6,2.1,.310,0.0,0.0,,0.6,2.1,.310,.310,0.4,0.6,.750,0.1,0.4,0.6,0.1,0.4,0.0,0.3,1.5,1.7
Tracy Moore,,,NBA,,119,6,14.5,2.5,6.2,.404,0.6,1.9,.344,1.9,4.3,.430,.456,1.3,1.6,.838,0.6,0.9,1.5,1.0,0.5,0.1,0.8,1.6,7.0
Eric Moreland,,,NBA,,78,3,11.0,0.9,1.7,.543,0.0,0.0,,0.9,1.7,.543,.543,0.2,0.4,.394,1.1,2.6,3.7,1.0,0.4,0.7,0.6,1.6,2.0
Jackie Moreland,,,TOT,,582,,23.4,3.9,9.4,.420,0.0,0.1,.300,3.9,9.3,.420,.420,2.0,2.7,.721,2.6,3.8,5.9,1.6,1.9,3.2,9.8,,
Guy Morgan,,,NBA,,8,0,5.8,0.9,3.0,.292,0.0,0.0,,0.9,3.0,.292,.292,0.1,0.5,.250,0.8,1.4,2.1,0.9,0.3,0.0,0.3,0.9,1.9
Rex Morgan,,,NBA,,62,,6.7,0.9,2.5,.375,,,,,,,,0.9,1.4,.682,1.5,0.6,1.5,2.8
Elmore Morgenthaler,,,BAA,,31,,,0.6,1.7,.365,,,,,,,,0.6,1.0,.633,,0.3,0.7,1.8,,,,,
Darren Morningstar,,,NBA,,23,15,16.0,1.7,3.6,.476,0.0,0.0,,1.7,3.6,.476,.476,0.8,1.3,.600,1.3,2.2,3.5,0.7,0.6,0.1,0.8,3.0,4.2
Chris Morris,,,NBA,,747,436,25.1,4.2,9.6,.441,0.7,2.2,.306,3.5,7.4,.480,.475,1.9,2.5,.739,2.0,2.7,4.7,1.6,1.2,0.7,1.6,2.3,11.0
Darius Morris,,,NBA,,132,17,11.1,1.3,3.3,.384,0.4,1.1,.322,0.9,2.2,.416,.439,0.4,0.6,.630,0.3,0.7,1.0,1.4,0.3,0.0,0.8,1.0,3.3
Isaiah Morris,,,NBA,,25,0,4.1,1.0,2.3,.456,0.0,0.0,,1.0,2.3,.456,.456,0.1,0.2,.750,0.2,0.2,0.5,0.2,0.1,0.0,0.3,0.6,2.2
Jaylen Morris,,,NBA,,9,0,13.1,1.9,4.3,.436,0.3,1.2,.273,1.6,3.1,.500,.474,0.0,0.0,,0.2,1.9,2.1,1.0,0.3,0.1,0.8,0.3,4.1
Marcus Morris,,,NBA,,493,245,26.3,4.2,9.7,.431,1.3,3.7,.361,2.9,6.0,.474,.499,1.6,2.1,.737,1.0,3.5,4.5,1.5,0.7,0.2,1.2,2.1,11.3
Markieff Morris,,,NBA,,545,330,26.4,4.6,10.2,.451,0.8,2.2,.339,3.9,8.0,.482,.488,1.9,2.4,.780,1.3,4.2,5.6,1.7,0.9,0.6,1.7,2.9,11.9
Max Morris,,,NBA,,62,,,4.1,11.2,.363,,,,,,,,4.5,6.7,.667,,3.1,2.8,12.6
Monte Morris,,,NBA,,27,1,22.2,3.4,7.1,.484,0.7,1.8,.408,2.7,5.3,.510,.536,0.9,1.1,.793,0.3,2.0,2.3,3.7,0.8,0.0,0.6,1.1,8.5
